2025-11-01 19:50:39,139 - INFO - Starting Stable Contrastive TSADCNN training
2025-11-01 19:50:39,139 - INFO - Config loaded from config_improved_v4.yaml
2025-11-01 19:50:39,139 - INFO - Resolved dirs -> log: logs_v4, tb: runs/contrastive_tsadcnn_v4, ckpt: checkpoints_v4
2025-11-01 19:50:39,154 - INFO - Using device: cuda
2025-11-01 19:50:39,154 - INFO - Auto-aligned similarity_threshold=0.500 from margin=1.0
2025-11-01 19:50:39,154 - INFO - Creating data loaders...
2025-11-01 19:50:39,236 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,236 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,237 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,237 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,238 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,238 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,238 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,239 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,239 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,239 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,239 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,239 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,240 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,240 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,240 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,240 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,240 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,241 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,241 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,242 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,242 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,242 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,243 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
2025-11-01 19:50:39,243 - INFO - Normalizer fitted with min_vals: [0. 0. 0. 0.], max_vals: [1. 1. 1. 1.]
